interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.359375
b1i9,1.359375,1.453125
b1i10,1.453125,1.546875
b1i11,1.546875,1.828125
b1i12,1.828125,1.921875
b1i13,1.921875,2.203125
b1i14,2.203125,2.296875
b1i15,2.296875,2.578125
b1i16,2.578125,2.671875
b1i17,2.671875,2.859375
b1i18,2.859375,2.953125
b1i19,2.953125,3.046875
b1i20,3.046875,3.328125
b1i21,3.328125,3.421875
b1i22,3.421875,3.703125
b1i23,3.703125,3.796875
b1i24,3.796875,4.078125
b1i25,4.078125,4.171875
b1i26,4.171875,4.359375
b1i27,4.359375,4.453125
b1i28,4.453125,4.546875
b1i29,4.546875,4.828125
b1i30,4.828125,4.921875
b1i31,4.921875,5.203125
b1i32,5.203125,5.296875
b1i33,5.296875,5.578125
b1i34,5.578125,5.671875
b1i35,5.671875,5.859375
b1i36,5.859375,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.359375
b2i9,7.359375,7.453125
b2i10,7.453125,7.546875
b2i11,7.546875,7.828125
b2i12,7.828125,7.921875
b2i13,7.921875,8.203125
b2i14,8.203125,8.296875
b2i15,8.296875,8.578125
b2i16,8.578125,8.671875
b2i17,8.671875,8.859375
b2i18,8.859375,8.953125
b2i19,8.953125,9.046875
b2i20,9.046875,9.328125
b2i21,9.328125,9.421875
b2i22,9.421875,9.703125
b2i23,9.703125,9.796875
b2i24,9.796875,10.078125
b2i25,10.078125,10.171875
b2i26,10.171875,10.359375
b2i27,10.359375,10.453125
b2i28,10.453125,10.546875
b2i29,10.546875,10.828125
b2i30,10.828125,10.921875
b2i31,10.921875,11.203125
b2i32,11.203125,11.296875
b2i33,11.296875,11.578125
b2i34,11.578125,11.671875
b2i35,11.671875,11.859375
b2i36,11.859375,11.953125
b3i1,11.953125,12.043127233333331
b3i2,12.043127233333331,12.302893495833334
b3i3,12.302893495833334,12.390161511458334
b3i4,12.390161511458334,12.65104128125
b3i5,12.65104128125,12.73683671145833
b3i6,12.73683671145833,12.997956201041664
b3i7,12.997956201041664,13.073238342708333
b3i8,13.073238342708333,13.225366292708332
b3i9,13.225366292708332,13.300905371875
b3i10,13.300905371875,13.377000703125
b3i11,13.377000703125,13.604593190624998
b3i12,13.604593190624998,13.680302065625
b3i13,13.680302065625,13.908172914583334
b3i14,13.908172914583334,13.983623189583334
b3i15,13.983623189583334,14.187317414583337
b3i16,14.187317414583337,14.254496065625002
b3i17,14.254496065625002,14.389536455208336
b3i18,14.389536455208336,14.457405517708338
b3i19,14.457405517708338,14.52476520520834
b3i20,14.52476520520834,14.726050732291672
b3i21,14.726050732291672,14.793640807291672
b3i22,14.793640807291672,14.995714153125007
b3i23,14.995714153125007,15.056160276041672
b3i24,15.056160276041672,15.238217835416672
b3i25,15.238217835416672,15.298121685416673
b3i26,15.298121685416673,15.41985937708334
b3i27,15.41985937708334,15.479655078125006
b3i28,15.479655078125006,15.541109752083338
b3i29,15.541109752083338,15.72224327916667
b3i30,15.72224327916667,15.783231322916672
b3i31,15.783231322916672,15.96507395520834
b3i32,15.96507395520834,16.02244970520834
b3i33,16.02244970520834,16.191745597916672
b3i34,16.191745597916672,16.24820200416667
b3i35,16.24820200416667,16.361160383333342
b3i36,16.361160383333342,16.41766201458334
b4i1,16.41766201458334,16.47267388958334
b4i2,16.47267388958334,16.630498765625013
b4i3,16.630498765625013,16.683799670833345
b4i4,16.683799670833345,16.84214160312501
b4i5,16.84214160312501,16.895310040625013
b4i6,16.895310040625013,17.053333165625013
b4i7,17.053333165625013,17.10639295729168
b4i8,17.10639295729168,17.211800258333344
b4i9,17.211800258333344,17.265012339583347
b4i10,17.265012339583347,17.317134048958348
b4i11,17.317134048958348,17.47386301979168
b4i12,17.47386301979168,17.521735011458347
b4i13,17.521735011458347,17.66749597812501
b4i14,17.66749597812501,17.716236371875013
b4i15,17.716236371875013,17.862083916666677
b4i16,17.862083916666677,17.910854635416676
b4i17,17.910854635416676,18.00782057291668
b4i18,18.00782057291668,18.05602032291668
b4i19,18.05602032291668,18.10483275208335
b4i20,18.10483275208335,18.25016358125001
b4i21,18.25016358125001,18.299033854166684
b4i22,18.299033854166684,18.444563547916683
b4i23,18.444563547916683,18.489614020833347
b4i24,18.489614020833347,18.62456589166668
b4i25,18.62456589166668,18.668977881250004
b4i26,18.668977881250004,18.75886244062501
b4i27,18.75886244062501,18.80356993645833
b4i28,18.80356993645833,18.84888015520833
b4i29,18.84888015520833,18.983889998958336
b4i30,18.983889998958336,19.028592498958336
b4i31,19.028592498958336,19.163295722916665
b4i32,19.163295722916665,19.208147209375
b4i33,19.208147209375,19.342574734375
b4i34,19.342574734375,19.38758360208333
b4i35,19.38758360208333,19.47645790833333
b4i36,19.47645790833333,19.51960684583333
b5i1,19.51960684583333,19.5619084
b5i2,19.5619084,19.68660357291666
b5i3,19.68660357291666,19.727682284375
b5i4,19.727682284375,19.85229735624999
b5i5,19.85229735624999,19.8942900125
b5i6,19.8942900125,20.01883609791665
b5i7,20.01883609791665,20.05964981979166
b5i8,20.05964981979166,20.14299909374999
b5i9,20.14299909374999,20.184838993749988
b5i10,20.184838993749988,20.22587780624999
b5i11,20.22587780624999,20.350351242708324
b5i12,20.350351242708324,20.39228975416665
b5i13,20.39228975416665,20.51674552083333
b5i14,20.51674552083333,20.556896271875
b5i15,20.556896271875,20.6733698375
b5i16,20.6733698375,20.712432129166668
b5i17,20.712432129166668,20.79024493125
b5i18,20.79024493125,20.829000494791664
b5i19,20.829000494791664,20.86765480833333
b5i20,20.86765480833333,20.984332059375
b5i21,20.984332059375,21.022597501041663
b5i22,21.022597501041663,21.139396621875
b5i23,21.139396621875,21.177921996875
b5i24,21.177921996875,21.294845804166663
b5i25,21.294845804166663,21.333629840625
b5i26,21.333629840625,21.410921601041668
b5i27,21.410921601041668,21.450058907291663
b5i28,21.450058907291663,21.489103310416663
b5i29,21.489103310416663,21.602553546875
b5i30,21.602553546875,21.63935853333333
b5i31,21.63935853333333,21.75050621458333
b5i32,21.75050621458333,21.78759171458333
b5i33,21.78759171458333,21.898341683333328
b5i34,21.898341683333328,21.93509177708333
b5i35,21.93509177708333,22.00956442708333
b5i36,22.00956442708333,22.04606855208333
b6i1,22.04606855208333,22.08249483020833
b6i2,22.08249483020833,22.188867946875
b6i3,22.188867946875,22.22377005104165
b6i4,22.22377005104165,22.329823104166653
b6i5,22.329823104166653,22.36502365520832
b6i6,22.36502365520832,22.471362753124986
b6i7,22.471362753124986,22.50685672187498
b6i8,22.50685672187498,22.577031679166648
b6i9,22.577031679166648,22.612891799999986
b6i10,22.612891799999986,22.648091362499983
b6i11,22.648091362499983,22.753839604166657
